Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
14/12/2023,14:13:14,3.2,19.368,-99.193,menos de 1,"4 km al SUR de V ALVARO OBREGON, CDMX",14/12/2023,20:13:14,revisado
14/12/2023,14:15:20,2.5,19.3613,-99.2028,menos de 1,"3 km al NORESTE de LA MAGDALENA C, CDMX",14/12/2023,20:15:20,revisado
14/12/2023,23:25:26,1.3,19.361,-99.202,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",15/12/2023,05:25:26,revisado
15/12/2023,04:22:31,1.6,19.361,-99.2,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",15/12/2023,10:22:31,revisado
16/12/2023,03:10:35,1.8,19.3595,-99.2012,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",16/12/2023,09:10:35,revisado
18/12/2023,13:27:56,1.1,19.363,-99.201,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",18/12/2023,19:27:56,revisado
20/12/2023,18:14:49,1.2,19.361,-99.199,1.3,"3 km al NORESTE de LA MAGDALENA C, CDMX",21/12/2023,00:14:49,revisado
26/12/2023,07:35:45,1.4,19.3785,-99.211,menos de 1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",26/12/2023,13:35:45,revisado
28/12/2023,03:33:55,1.9,19.3607,-99.1938,menos de 1,"4 km al NOROESTE de COYOACAN, CDMX",28/12/2023,09:33:55,revisado
28/12/2023,03:49:51,1.5,19.3667,-99.207,1,"4 km al SUR de V ALVARO OBREGON, CDMX",28/12/2023,09:49:51,revisado
31/12/2023,04:01:35,1.2,19.3647,-99.1983,1.8,"4 km al NORESTE de LA MAGDALENA C, CDMX",31/12/2023,10:01:35,revisado
10/01/2024,12:19:20,1.2,19.363,-99.202,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",10/01/2024,18:19:20,revisado
31/01/2024,05:49:06,1,19.3865,-99.2035,menos de 1,"2 km al SUR de V ALVARO OBREGON, CDMX",31/01/2024,11:49:06,revisado
04/02/2024,03:17:22,2.3,19.3728,-99.2108,1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",04/02/2024,09:17:22,revisado
14/02/2024,06:42:14,3.1,19.374,-99.2037,1.4,"3 km al SUR de V ALVARO OBREGON, CDMX",14/02/2024,12:42:14,revisado
14/02/2024,06:42:56,1.3,19.372,-99.203,1,"3 km al SUR de V ALVARO OBREGON, CDMX",14/02/2024,12:42:56,revisado
14/02/2024,06:43:02,2.2,19.3808,-99.207,menos de 1,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",14/02/2024,12:43:02,revisado
14/02/2024,06:43:17,1.3,19.3628,-99.2045,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",14/02/2024,12:43:17,revisado
14/02/2024,06:43:50,1.4,19.3775,-99.2073,1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",14/02/2024,12:43:50,revisado
14/02/2024,06:44:07,1.7,19.3788,-99.214,1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",14/02/2024,12:44:07,revisado
